"GenID","CT22_STAND_BLUE","CT22_DTP_BLUE","CT22_AC_BLUE","CT22_DTS_BLUE","CT22_SC_BLUE","CT22_EL_BLUE","CT22_SL_BLUE","CT22_EW_BLUE","CT22_COV_BLUE","CT22_SOL_BLUE","CT22_TP_BLUE","CT22_CUR_BLUE","CT22_TPF_BLUE","CT22_KRF_BLUE","CT22_PH_BLUE","CT22_FLH_BLUE","CT22_EH_BLUE","CT22_LA_BLUE","CT22_NES_BLUE","CT22_TIL_BLUE","CT22_BN_BLUE","CT22_TE_BLUE","CT22_HUSK_BLUE","CT22_STAND_BLUP","CT22_DTP_BLUP","CT22_AC_BLUP","CT22_DTS_BLUP","CT22_SC_BLUP","CT22_EL_BLUP","CT22_SL_BLUP","CT22_EW_BLUP","CT22_COV_BLUP","CT22_SOL_BLUP","CT22_TP_BLUP","CT22_CUR_BLUP","CT22_TPF_BLUP","CT22_KRF_BLUP","CT22_PH_BLUP","CT22_FLH_BLUP","CT22_EH_BLUP","CT22_LA_BLUP","CT22_NES_BLUP","CT22_TIL_BLUP","CT22_BN_BLUP","CT22_TE_BLUP","CT22_HUSK_BLUP"
"Country_Gentleman",87.8078003898636,63.0657324699187,1.67788524595488,63.8820826877819,1.66807176905786,12.5181520791524,7.81859768960346,3.41192685130466,0.796679338307424,0.924296167173179,83.4418944845139,16.858104675321,0.895511810486777,0.156656623591635,157.370986496254,124.092594679517,47.8359991567183,47.1705804241329,1.59276169058087,0.763910798123096,12.1930449487465,33.5047499215637,2.85504814295084,79.1713280810516,62.6242221390178,1.82089256321342,63.52934533343,1.77417567678992,12.4129700808058,7.67359453707492,3.32985956490629,0.80745816992178,0.925804858545114,79.7047750805474,15.1039995520032,0.908892347359157,0.133683501812922,154.068560319406,120.933275161835,43.6495321439967,47.6667589398368,1.57830293777818,0.773375134118922,11.5785030059428,32.9955394541363,2.62846503319936
"CRC_61",51.7523150523695,56.3446369877907,1.01121855057666,57.7214054189366,3.00140402262992,13.4660853047759,8.77958484565013,3.23663723508755,0.78137115605991,0.910625848321654,77.719497591971,22.3183584883396,0.932619897532145,0.104939325308391,118.555086487868,83.8551622083703,19.5725967586526,51.2954457792341,1.75942484567805,2.7811779870204,16.6363014327716,34.7532918086309,2.94169361440499,54.9618458543851,56.8537986315721,1.26204185064784,58.1558434096197,2.95404033881829,13.179787385796,8.42462266950876,3.21170256673236,0.80124286887325,0.919230826040272,75.6503964666989,16.7608770415201,0.927738505381819,0.107655138008922,118.617486592866,84.1465782007174,20.6052106608602,50.6543346527409,1.65853372610303,2.10402545793205,15.3008029841735,33.6594904928297,2.64393839009759
"CTS6_1",92.9080100588987,66.1735122800178,3.01121871688803,66.8067669602806,3.00140648608326,11.8623306394412,6.91177879449085,3.13004756073899,0.811169769927374,0.922494402219212,79.6567214274008,14.4280519540138,0.934587737578745,0.105173192601929,143.469525754774,111.465938535093,31.1436878226264,39.6786975678133,1.4260938791076,-0.00365060336283118,4.74209285118358,32.5952239299139,0.562407891218685,82.4528264651023,65.4766807217724,2.93859408198234,66.1980934922999,2.95512477643545,11.8747963366537,7.07456063992778,3.13015080169548,0.813341460655355,0.924755393569902,77.0758751517216,14.3682966089738,0.928737919141183,0.107772837849227,141.258278084565,109.268491890662,29.8187691635007,42.4862869312203,1.49807198730049,0.258643805589906,5.23034927897035,32.4418224723336,0.947146538723707
"CTS62_Su",79.7358393907114,64.4815807119975,3.01121827567039,65.5037306521722,3.00140582160019,12.357375773164,8.3310047281524,3.37253078091763,0.815055979672269,0.94124486819192,70.2450342330866,11.1593614664234,0.860881898689243,0.203305338244803,128.590633506728,92.4833230709433,32.3643389264802,40.3320281920289,1.25942883555079,-0.251050451616599,10.5142503211121,36.6685857155837,0.786631625851133,74.0769887941972,63.8481349928867,2.93859380864133,64.8880682052837,2.95506113900837,12.2648787541578,8.08638678119179,3.30295073417944,0.814919304280114,0.934057131206953,70.8658687581675,13.3596871670507,0.891304784798532,0.157160940376937,127.234407185156,91.5360764570327,30.6823448590728,42.9461609247699,1.41784124286554,0.0969103522105434,10.038115263863,34.7827053965322,1.1419033315232
"Cubano",33.4736767854909,77.2058279127448,2.34455219446889,78.5810406252425,1.0021098363594,15.3057182512802,8.75795821100751,3.11873512097739,0.820188753155994,0.906851065838596,41.5689177947676,18.2279452311206,0.947379480443391,0.0570060121766792,189.120763608773,150.32538925901,71.7493704126686,46.2667498138126,1.50942559245591,0.350161289833562,23.0923049488631,39.0135446270653,0.292753218733214,42.5962094881729,75.1485119469521,2.3797435117513,76.6151252707343,1.26215296639364,14.6437303663933,8.37517490277006,3.12354567827062,0.817003270582149,0.917191855944808,51.3293156997755,15.5261339917939,0.935234490621697,0.0835311815407323,183.369479867678,145.238192845972,63.5683780579195,46.9809808313622,1.5381873804986,0.480031990867475,20.8088095118848,36.3635241856289,0.744310985300415
"Cuzco_suse",36.3114111490306,58.9751651256869,3.01121856981427,59.986946984812,2.66806997004124,9.60137688433283,5.61467842912885,3.13733344380673,0.795191024328051,0.921118690230557,73.3442545473616,16.7427770772025,0.974132153687584,0.0371969431940514,86.3357172472737,58.2813450767642,8.79689628999349,45.7730921819085,1.09276214046367,-0.0822818634061107,7.22402537488799,27.8083850015573,1.03821983239315,44.0819131422335,59.1197816510629,2.93859391399135,60.1644881788729,2.65872048945987,10.0759866210104,6.14581806050527,3.13489848536832,0.806853895163523,0.924146055845481,72.7043516734426,15.1043029982498,0.948821423476799,0.073561642871674,88.6597972676266,60.3071254855166,11.508920228434,46.6725770611762,1.33761024234684,0.219264816707578,7.36371922642601,29.2978431544776,1.30256035460387
"DF14",83.3412879902502,57.7164231367027,3.01121845700635,58.1688434086446,3.00140485284779,15.9883385932325,8.17013838205464,3.99610768333836,0.818330744432519,0.946310150403866,94.0821664514899,22.3773435429417,0.962597984182474,0.057042346448545,159.949574819115,106.624062592624,35.6584548131539,43.7608481402041,1.75942740025877,0.22461504177127,6.02983654338368,52.9204066211312,2.07064322431765,75.777395249123,58.0977562326685,2.93859387600023,58.6254156297009,2.95444735329813,15.1834729869442,7.9837259391806,3.74280390139859,0.81624890387087,0.936589700712067,86.8045933127358,16.771011019191,0.942963535759049,0.0835494760178742,156.806273625775,105.186852837971,33.9256283762391,45.2377073158705,1.65853380478909,0.430304546977933,6.35073337427808,44.9436508540793,2.03923486882803
"Doce_de_Cuba",48.7039903622713,76.0451286131998,2.01121868549915,76.6712163675884,1.66807273158741,10.3116128531688,3.96063541792179,3.24520008697137,0.854744171227431,0.955034647395354,86.6897252180837,14.0137931219706,0.981673613166631,0.0407348529561532,184.11945111779,149.124112365024,70.9266074898789,39.1377918646374,1.25942540854445,-0.131022957572122,16.4320023654735,35.1710230499878,-0.116037460782689,53.4075414649662,74.0286643341907,2.10031803496645,74.7954568353342,1.77489561893643,10.6599275578206,4.86128361834355,3.21517565424151,0.831033183576271,0.940847255189767,82.027247175948,14.2346039631479,0.952651517043281,0.0753422117474402,178.674943131583,144.086674063282,62.8715478009678,41.9370392751446,1.41784107599413,0.14923233399663,15.1762307196111,33.9102102958213,0.462561301328277
"Early_Evergreen",54.1562609214217,60.9317004943171,3.01121856144315,63.2374228343718,1.66807405489775,13.9550924026406,9.19498621269397,3.62130513453591,0.794899593167101,0.925018355502402,65.3679000706525,16.8651100233214,0.902343532043882,0.131355706384429,137.993943820104,101.72242509345,23.0979986128906,60.3604348302204,1.5094299319583,1.5983793413817,10.0123297121417,36.310932306152,2.79883048289408,57.1555889505,60.8090143256306,2.93859394632093,62.9415214136214,1.77538503109181,13.5944318798489,8.76793329783562,3.49072651626519,0.806735571425362,0.926051137646348,67.735357884781,15.1431092770256,0.912361990429229,0.120950014974583,136.46316566105,100.544974573415,23.4192449708092,56.86403906686,1.53818754826524,1.31994528979266,9.67405135063707,34.7119693574236,2.59181418781597
"Early_June",44.8386215474319,52.4406781685251,1.67788521746954,53.4100530746101,2.66807396902568,8.927149795255,6.24151674352222,2.37977968892522,0.793403876856263,0.909811232984276,57.0754687391359,9.38691210364459,0.912592612698664,0.117536496867274,51.3775194213677,34.1585818143724,2.09908730365962,42.325047150991,1.50942875713529,1.55617846371938,2.97046311278679,16.9155048579731,2.682703808523,50.412382906022,53.372443897759,1.8208925932568,54.2874020032352,2.6606062137531,10.2411265664614,6.8741349257049,2.80529671894154,0.810878275766898,0.922871590457256,65.7787511995949,13.735725432749,0.920293877033526,0.1119842889573,56.4816866459021,38.0016878278865,5.87764697432798,44.2876716668207,1.53818750885268,1.29413659262864,3.7254346159444,22.6359060405314,2.50306726210948
"EP58",67.696605018667,59.7690249359329,2.01121852212837,59.6916597739266,2.00140384479078,13.4347493958222,8.15970218820869,3.49492653424586,0.795478591677771,0.9230638311915,84.4501041149885,18.2716421445394,0.909570491390695,0.121542284731315,135.712287342355,98.5782543458416,31.2798688685706,53.3693741716114,1.92609208457554,0.542639609682105,9.36923749687829,36.8549670449994,1.15937091594072,65.5352963919341,59.8874739755823,2.10031784974605,59.9320984133482,2.06887672610845,13.1471075453059,7.94973693655345,3.39269017140684,0.806970654194695,0.925341590214411,80.3733630425027,15.5492600398679,0.916032360264198,0.116011098367452,134.308086872505,97.6633588389205,30.3379699693119,51.9198228515877,1.73876463477402,0.60337484697795,9.19012788268869,34.9061602646796,1.35061295311911
"EP60",83.0435381564775,63.4804187549841,2.01121872013941,65.4230981041506,1.00140865212144,11.7286287699616,7.89197776623483,3.34610843826116,0.830498088644219,0.948138606866496,76.8799129883253,11.3518858695237,0.859991493318472,0.192030120378311,154.084682142405,119.713916438969,34.2567790472442,49.0854543271065,1.59276146879813,0.674469051635654,14.5414880021091,34.0039518513043,3.41149482773003,75.8134933670452,63.1310599503159,2.10031798747086,64.9941254488304,1.18564654129556,11.78287127134,7.79893127639265,3.2886863650271,0.821188988436222,0.937600978641824,75.3150572826906,13.457331572235,0.890852578801348,0.151486322777523,151.010935445349,116.921548304746,32.5642730165419,49.0115139730224,1.57830294455449,0.722775259699822,13.5734363131502,33.2113400777612,3.03563376097552
"EP61",81.029609233101,57.004307813062,3.01121850813256,60.1544023006551,3.00140734470466,14.3581400161658,8.41454529317465,3.5349811545193,0.843792424516792,0.942786962765636,62.2193550004928,9.90901276771684,0.886541765121182,0.151158279446334,128.875941596917,95.4659436460761,23.3519960146879,33.2521278635249,1.34276263110382,0.962315639027018,12.2212869092532,33.5234466935338,3.74932387994696,74.0720116840846,57.3335137617532,2.93859391608539,60.2481416884735,2.95543401041123,13.8878765512424,8.15171342347641,3.42721252273054,0.826586644188767,0.934874255035058,65.3714373106233,13.0081664762246,0.904336713495533,0.130916284655986,127.742470009152,94.5038207940414,23.3675535898665,37.9220232390799,1.45795664773718,0.904771011281581,11.6044637184382,32.8631078958974,3.27978910190106
"EP62",91.3646054968792,58.1450055724134,3.01121848688477,59.9612238120688,3.00140116970957,14.0713188238427,10.6663366891308,3.51247975200071,0.826929396532628,0.924371798129694,82.9339479188606,15.0539438250004,0.878679938847468,0.150158594283422,100.393656742522,68.7404284352637,23.8362174958902,40.3518630119617,1.84276175181672,1.42101007983615,9.99474085064965,31.7104920203082,3.86677110390806,81.1425195889041,58.4173856653607,2.93859385213548,60.2006996866893,2.95279912957184,13.6627948983763,9.81849641212806,3.39287460965386,0.819740058130292,0.925727987488023,78.9635563308018,14.5417478876988,0.900343903045237,0.130413170591215,102.03045917973,70.2598422460743,24.1586958957095,42.9259257624305,1.69864925859308,1.25732890091378,9.72728795998862,31.8570468629999,3.35613299216782
"EP82",69.42761389627,58.2253069360502,3.01121854808128,60.9078295337544,3.00140552019796,11.3367864376117,11.7225734486315,3.50589098828008,0.827785701890419,0.938893640457262,79.8378830606342,15.6157633017311,0.851069817643415,0.213122319873647,152.514072380658,113.316455885532,38.0049309063467,43.5673288375069,1.50943288068607,0.830945397769981,9.68921143825871,39.0140575324514,3.76063637424911,66.7278149942594,58.4274391650041,2.93859392413772,60.8710403214626,2.95473461390937,11.4816069838033,10.6043998479244,3.40517445690896,0.820087721408112,0.932953732457399,77.2674373953373,14.7524121170722,0.886321498016194,0.162101650753675,149.568959015942,111.086880069678,35.7204770552607,45.1370306259751,1.53818766971443,0.827971723390312,9.42821468602139,36.2084556750659,3.28261513735025
"EP83",59.6614910503081,63.1413740168357,1.67788546233477,64.5916862891236,2.3347385820475,11.9591516199948,10.6269685412233,2.80085445363791,0.816868723995507,0.926294113923293,69.7640112346094,9.86714346361509,0.926859730987531,0.106793849952477,140.784614527506,107.052232116164,29.3899274176384,51.7326826698385,1.50943158809056,0.898507435842289,8.59304191425017,33.81213840567,1.94819028998208,59.8840455008523,62.7973581992638,1.82089271452375,64.2110332167766,2.36429763683228,11.9790390504535,9.76224017856594,2.90270658680538,0.815655300178981,0.926781456357636,70.3475695615454,12.9803295452309,0.924813078293736,0.10858848800995,138.927891036822,105.359228964025,28.547218383133,50.8697834661844,1.53818757124868,0.882302059832492,8.49780533145925,33.1544036976944,1.94327203507307
"EP84",53.8103215175105,57.6631481439815,3.00450001442421,57.1640030920936,2.99760198968307,11.3796445143912,4.44196571719425,3.49222969751241,0.783776397840584,0.923594887939607,77.3144925593501,17.5703737955398,0.932936865630448,0.0877263854631601,126.819615885924,88.8344033907967,19.8693249969866,47.6460443424508,1.00000395128794,-0.106855766279842,3.14764306849841,37.983829451465,2.10057273607203,56.1861341991769,58.0041852611058,2.90486348661094,57.7752868977822,2.93269838708213,11.5446699652534,5.48121003544553,3.35951300922683,0.805022932275389,0.925734261808699,75.0776245118108,15.0853395956691,0.926942531421881,0.101162173100583,125.159032328502,87.9584345926683,20.6030036909345,48.2593821371215,1.4329030804382,0.267152089278936,4.18809209300179,34.9645110169709,2.07527111428775
"EP85",69.4863568822597,58.4809283654624,3.01121829095213,57.8710191499915,3.00140775724004,15.0293537561505,6.40792597154038,3.19593546721958,0.835595219312184,0.927794485912794,60.4196263886729,9.0498042627037,0.880555490177919,0.144705308731977,95.9088243449325,62.2521347508201,3.82282784964316,43.6954445688694,1.23164694613085,0.145151218994286,2.67683721896465,33.6026122073867,1.35740541240321,66.6299415248552,58.6621337188321,2.93859379630544,58.2194156082656,2.95551440561687,14.4062766470801,6.63745757440186,3.18089548367663,0.823258479814594,0.927507102575018,64.1135192859267,12.7392924593643,0.90129644842217,0.127668626539062,97.3132811556024,63.8216202318968,7.17162320285684,45.2977918322988,1.40446924792631,0.343842831596334,3.48227449365692,32.8403274924806,1.53700428098798
"Eskisehir",70.9051161135071,53.0021297359783,1.67788527236398,54.194966504208,1.66807371726109,10.0993494064806,6.94213362195411,2.4507924864483,0.828323126510477,0.922110214058839,53.4313136766092,12.2992991975771,0.924908627259564,0.114608238752248,101.131429354314,64.9894188365336,12.999348901003,50.4909954822888,1.67609311661888,1.6228056894738,6.37975068269816,36.0183777283151,2.27399552412185,67.9242167357504,53.859269087763,1.82089259379185,55.0045554721966,1.774993692173,10.4843125114163,7.10790526396537,2.65194785237151,0.820305929114875,0.924491243132437,59.2975904566232,13.7489125742181,0.923822174393047,0.112521316858828,102.339940769488,66.5082329408717,14.92694625633,50.0507920445953,1.61841832281067,1.34466418006725,6.55792520854172,34.4564086152738,2.18466811270467
"F2",70.9277794948767,55.0612471338665,2.01121848643363,54.4321838776198,1.6680727057708,11.4628737216543,6.71193413109516,2.85656431783446,0.816732217570452,0.919337543860181,40.2588620416219,12.5316727611037,0.943411137204955,0.102074498137746,127.444016334288,95.9013274022451,37.2518759784409,48.1066721709553,2.59276315438518,0.504872652269113,7.29631371235902,31.3915808811321,0.386613651331265,67.1791799775087,55.6949815856284,2.10031783520471,55.2699197397783,1.77454018946163,11.5781431318158,6.91483057335841,2.93242363182425,0.815599877391496,0.923072581266768,50.0327728145168,13.8057654238526,0.933219081711879,0.106213317542625,126.335845083584,94.8187218175428,34.8756008425297,48.4310908371903,2.05968833134644,0.605949938896809,7.40475449710796,31.5673054374184,0.820939598055799
"F7",88.4816341122528,52.8385187875312,1.34455200333016,53.8027328434437,2.33474313235304,9.38342375918453,4.35051819222241,2.82846461344228,0.805071797497552,0.923766704727806,61.9078285739023,11.9903805660704,0.974434886043884,0.0578919857541468,76.7591108120969,56.1894697028771,17.8187216046911,44.9277256801553,1.25942891700679,-0.0631198419806602,0.353159738880453,20.0301993955199,0.688833532342818,79.4544777692403,53.7493441488574,1.54146728686963,54.6900313987732,2.36629914169108,9.93475728758816,5.18984718954592,2.92437608942338,0.81086560982348,0.9254614662015,64.9416342567343,13.6489597265294,0.948975178984669,0.0839770699567832,79.7955884510667,58.2809164532211,18.8912091709211,46.2379132321998,1.4178411450905,0.211475061843025,1.53760812858765,24.5533436375823,1.047497866675
"FL32",24.4901385727899,54.7042707155772,2.01232811246936,56.9387964208901,2.00451467799027,18.9878001654745,11.4796072445184,3.42741014918424,0.765893330286563,0.848600847950693,63.1020751639323,20.9004390440111,0.984543353212825,0.0405743023989191,122.649667422758,82.2607172250362,22.7280151133284,44.9819091849179,2.60167782749847,1.5832048197787,6.31538935490522,40.1182904751317,2.22127291913599,36.5001110265577,55.7551595986796,2.13547581492114,57.7336700370892,2.102546219449,16.0041325297894,9.37928811568375,3.27177700117772,0.805773279077245,0.907956361539064,68.2728734803744,15.2015995542526,0.9387097320168,0.0925536986086683,121.555103471338,82.8533686060727,23.3989516127771,47.2249574810497,1.81132582782998,1.10044652608384,6.89898887437027,34.8724039665385,2.09973701481574
"FL56",27.9467662465233,67.097286199548,3.01121855619851,69.1413720051447,3.00140526775219,15.2386018779719,7.01754369779593,3.11071866070417,0.839750353510602,0.925556050130795,80.1875376323359,13.4447187482826,0.859746597930188,0.186157880130989,125.352886622957,93.5022664554623,31.9979605327555,46.014666830961,2.34275769138309,0.753898708355521,11.1391312086915,32.0726806350596,3.38915740641419,38.9725094125268,66.3091861130653,2.93859394381059,68.2545652042731,2.95465776334822,14.5867988088036,7.14877641705864,3.12065457717187,0.824945519864449,0.926523140612127,77.3647272895208,14.0590943953122,0.890728197102664,0.148530937214988,124.49953643856,92.6020170498318,30.1919673942224,46.8958145633447,1.9393418685662,0.75445512957671,10.6516216430721,32.1129339326565,3.00133024261161
"G8",86.0880137573874,51.2048672942178,2.01121888659994,51.8816968387231,1.00140641042671,12.1036748769814,4.04364181339168,2.76760119406337,0.812701930094651,0.897937542498564,52.9667590007968,11.7816095845966,0.840923900845133,0.182710805577842,74.1471673192302,51.4339090629586,5.37421397622941,44.3478572356878,1.50942551244795,1.07828471681254,1.76683461408135,22.9120585445106,1.20410492962749,77.7124961125504,52.4225761486833,2.10031816149507,53.0647020872766,1.18491180330474,12.0606720930856,5.26578184806134,2.91564922717148,0.8140777986527,0.915704074646627,61.0368938918167,13.7889490509169,0.889439801028758,0.139455555480487,77.6168473432447,54.0416595001158,8.64021144373527,45.5623665543647,1.53818742131616,0.982767976645703,2.76647758015995,26.4340497656356,1.41826989797447
