"GenID","CT21_EL_BLUE","CT21_EW_BLUE","CT21_COV_BLUE","CT21_SOL_BLUE","CT21_TP_BLUE","CT21_CUR_BLUE","CT21_TPF_BLUE","CT21_KRF_BLUE","CT21_Germ_BLUE","CT21_PH_BLUE","CT21_EH_BLUE","CT21_LA_BLUE","CT21_FLH_BLUE","CT21_TIL_BLUE","CT21_BN_BLUE","CT21_DTP_BLUE","CT21_AC_BLUE","CT21_DTS_BLUE","CT21_SC_BLUE","CT21_TE_BLUE","CT21_EL_BLUP","CT21_EW_BLUP","CT21_COV_BLUP","CT21_SOL_BLUP","CT21_TP_BLUP","CT21_CUR_BLUP","CT21_TPF_BLUP","CT21_KRF_BLUP","CT21_Germ_BLUP","CT21_PH_BLUP","CT21_EH_BLUP","CT21_LA_BLUP","CT21_FLH_BLUP","CT21_TIL_BLUP","CT21_BN_BLUP","CT21_DTP_BLUP","CT21_AC_BLUP","CT21_DTS_BLUP","CT21_SC_BLUP","CT21_TE_BLUP"
"wh09117R",11.1912979890752,3.55434632431173,0.8035922833532,0.95391569852059,98.1945068820348,13.9704669025673,0.931611951629556,0.128228235797379,10.1613184013473,102.243374260177,20.9530431364894,31.9498969502592,66.5464721772694,0.492716341699015,0.710287523011871,66.7821614155857,3.00939715883873,65.558440492931,3.0085271127332,36.2578999835196,11.5075381669913,3.51925019399305,0.81433179698647,0.947436193855446,94.0395663115922,15.1689423997907,0.921294912113079,0.130067776135125,15.4836155315899,104.75857382391,22.1212362188183,34.7976154849328,73.3382922478241,0.56369165238109,2.03697408281374,66.4343645547371,2.94891392171043,65.2951109655835,2.98007625801352,33.0527741651331
"wh09126R",5.10078583377845,2.25467245693759,0.806572073648597,0.920345101082842,69.1909144851523,12.7966771157409,0.92438675232265,0.0925814002561588,8.81043848537753,62.3080073949702,2.86679974969761,32.3666284071708,40.9889150597137,0.073089793444213,0.37380295857125,62.633594990592,3.01412517997966,63.7208072580482,3.03454928765143,19.9266345631866,7.50406472851986,2.47184048182866,0.816092698239539,0.928411980147714,75.0739129781286,14.7920082459571,0.918212756041621,0.114355623858016,13.6548085165706,69.521669801555,7.50590708974133,35.1941737380103,54.0699255870366,0.317507891700608,3.47079926788136,62.5987442598952,2.92669119594295,63.6052734341242,2.98884540801515,28.1407460999439
"wh09137R",12.7499364669956,3.93890507280179,0.757047138302882,0.931638587708512,97.1421601759269,19.7416373535234,0.928538427114585,0.122835361276257,47.1477047544409,103.772676230416,16.7101149379539,39.7999354887703,76.3341879398088,1.32934033574638,5.70355617505532,59.9501920275164,3.00952390850744,59.7514661972168,3.02678197679802,27.5360380990081,12.7741204041254,3.85473127640344,0.780033488972112,0.93363807322135,94.1693708552863,17.6168494443751,0.92177205888759,0.126595340737264,47.7175255280717,105.72531511815,18.4080641577344,40.8078375748898,79.7049870451231,1.16949241292252,6.27027105822826,60.0444676453054,2.94891397063268,59.8822955661694,2.99603795507631,30.0939379204068
"wh09141R",14.0707150528863,3.6074392000376,0.803861737818877,0.952631597762722,113.789180364607,23.0834448053169,0.848760012906889,0.192691603545784,4.55137143452739,100.177940695174,10.0060015144512,59.0000205392188,76.7490965283863,3.99079941772254,6.37072733448413,69.3838675087002,2.99801087149039,69.5108617502208,3.00574036055117,24.9196133462901,13.6778583407478,3.52507451084298,0.818512937121981,0.943617527401458,99.7349393975297,17.4507627480788,0.893017705991622,0.148384134206509,10.737962700169,105.452171969163,15.9457315132638,55.618955439545,83.5386275511819,2.27930348783847,7.30489425762211,68.0647549344886,2.85022001017098,68.1040055018024,2.92554347633205,30.3219973964549
"wh10006R",12.5660540665933,3.75017899386722,0.61667378159354,0.918079952690492,117.740486134072,28.5828966502362,0.839582126745135,0.25797563914857,3.19134351199501,106.440920476896,24.1941179656566,52.0961347173595,77.1308494462204,0.0781050585538603,7.56246331084232,69.5252404909509,2.98611120913575,70.4352456034994,3.0019761417345,28.2390091518549,12.6477252465706,3.69045732552221,0.740292975159683,0.926794507865064,107.415883715201,20.4090352530252,0.878247949721974,0.186769890542206,9.56789983580551,108.47146660718,24.9000630938607,51.3388103484482,81.3832935213044,0.3098194770487,7.84441177977994,68.8532601437465,2.90257644819583,69.619250132324,2.96076190317747,30.5786937719803
"wh10034R",12.1358807201487,3.29530235767144,0.807069946589156,0.938965668952425,100.074636799029,15.154297698097,0.900864599160851,0.141542407268167,35.7764915435096,75.9173472245035,8.9524561512706,41.2165889070967,50.8297455313795,0.435217388888021,5.96477162083165,59.0728756839368,3.00915621572355,60.4416111254467,3.02902372879157,24.1992674693579,12.2844467038877,3.31636128524828,0.816184149205724,0.938488798824923,95.6493075994367,15.7079612907772,0.906622367506221,0.136324062684993,37.4056644837329,80.032783023284,11.6139119571522,42.030199813932,58.6610605055374,0.524848338561546,6.34780996986043,59.2483966430363,2.94891392561761,60.5408921162488,2.997518690617,28.7734028632115
"wh10035R",8.6931729852771,2.79044713956708,0.82445743654494,0.954910040156354,72.0547794733141,16.5470910328091,0.923808179968918,0.0998895324787016,7.25390345549649,78.182661641918,8.91575790497977,30.5960851610329,48.976614547195,0.996497235974227,3.3055176334578,62.2681774359495,3.01002230488761,60.5689257199306,3.0177218516482,26.5505951861613,9.48057065017534,2.90071315490259,0.82655774735898,0.947556161379962,76.5231908200026,16.1054085749248,0.917598136750133,0.11739010372228,12.7856655719814,84.10575713719,12.7245453394293,33.6648645122923,60.37242809276,0.857243406060546,5.24195414921918,62.2404069706843,2.94891406662892,60.6811833432602,2.99043093152284,30.1291103904768
"wh10040R",9.93119923685743,2.92131839124495,0.789958773641508,0.938280995148321,90.1273835368746,12.1669388014304,0.86076721866127,0.238713073717738,4.97874031902416,73.6841070750775,6.25736034691363,50.1038232273349,50.5448353946026,1.49082750315679,0.194274329397729,62.9956733696692,3.03033969465048,64.2928461314481,3.01941019406312,23.3932850687807,10.8181845582302,3.06375867215917,0.81268173456897,0.937285890434344,88.0174492226473,15.1076329967142,0.896399122688683,0.161618302069084,10.6641854107199,79.9618795754338,10.5251345886132,49.7118299136283,61.5466871076818,1.23180229835906,2.18120687108194,62.8694008329708,2.93949046125766,64.0351379465964,2.97335861038013,29.1221171382153
"wh10046R",10.7039044706979,3.89501829202595,0.831463631197023,0.919880647647698,123.281381465204,12.2590902593372,0.964577534560715,0.0678647050214178,28.5916338658046,132.010977913793,21.2556322591865,53.3832662718973,100.062821071326,0.528522927698553,2.56719830166303,62.3765935921979,2.98834186511428,60.7569607034394,3.01378768601459,32.4952813053371,10.9922497963074,3.80482727704458,0.830953490932198,0.926208287795392,111.286191725262,14.2927770928372,0.941936340728323,0.0972246169737006,31.4439237185066,131.280296226796,22.1665022267586,52.6282197449372,98.8701464663295,0.588836431616396,3.61573825845165,62.3537556708413,2.90257663221367,60.9120935864666,2.96707275535085,32.0121283909633
"wh10049R",10.127560617647,3.54287839188758,0.852124326774099,0.947940037565468,105.630425393883,17.5423920499248,0.958851065228125,0.0723821087769477,28.1036838308817,100.634018321423,18.0626220255296,53.8833553885064,74.4304944747298,0.656102770249377,7.45966986300831,61.3125898674984,3.01091696150319,61.1971918157999,3.03529128586431,28.0040036108969,10.4695857009855,3.50924400586575,0.845090695698052,0.944468252900977,100.186274897955,16.6143744464577,0.939505633857616,0.0990491640269948,31.1237645079571,102.848852919963,19.5271111877225,53.1944728188957,78.2330364087385,0.687705135414427,7.70457863068597,61.3395402666533,2.948914031197,61.2493452721261,2.99969443451881,30.290210368235
"wh10052Ra",14.9769924110291,3.59628996198059,0.807021412624744,0.937169241196935,96.6327885677764,13.1168523040494,0.883574178712903,0.135998175589778,27.1941632394866,121.489019235232,21.7688170508498,44.0222267410621,91.9709085999812,0.42152237436839,3.92950681093977,59.7153229198911,3.01106358507753,59.1097762383649,3.02664827652973,31.3528102686879,14.7194040962377,3.55682713358651,0.814228740623859,0.936815968071424,93.3928067206865,14.6293812819058,0.896096618806142,0.133897671328506,30.1783515038894,122.034673781653,22.7042244025642,44.5759905232665,92.6332771825063,0.512265003370699,4.79439782320814,59.8759421647719,2.94891409855764,59.337588669636,2.99312673249056,31.6001390890977
"wh10057R",11.6204943674174,3.58485951957071,0.860438916768073,0.957733751671678,83.5739786118624,13.4705734002581,0.892777825543962,0.138676588362037,21.2289221863754,104.622988343469,16.1289570404882,48.2721578750666,80.6130202583423,0.584499617485113,3.92947575092776,59.4058801486572,3.01120021683659,59.5795169648386,3.03192260530972,25.1226399461121,11.7877118164138,3.55282822905538,0.850780063646856,0.951025505566999,83.9868452573043,14.8043107964271,0.90084751494277,0.135820455052241,24.9335578909086,106.575980342808,17.9902612623855,48.2026223764655,83.3564107995634,0.622756760077534,4.79100033350777,59.6520590255533,2.94891415231786,59.8441521645647,2.9987422259917,29.1299829263349
"wh10062R",6.21033143326539,1.98081801322233,0.872407287297245,0.922620302606886,53.6616919597583,15.3302724315322,0.849424003914939,0.210474255546887,7.97089282128423,64.9545767950515,3.59464566589632,48.1038316923238,47.5139224547044,0.489506822750708,1.91324886928142,NA,NA,NA,NA,17.840878079452,7.41745165212183,2.2350353890544,0.854795807302644,0.929410395811368,63.8923531869309,15.7584933029628,0.883032717252391,0.16622476803161,13.2083574878925,72.0452682898913,8.36872811705289,48.0843582598606,59.0306477760799,0.591053178886431,3.52617594047469,NA,NA,NA,NA,27.462981721231
"wh10067R",6.98443236350032,3.57161085273669,0.824181874544452,0.936463375327562,103.214303902448,19.6420935347629,0.917872742866976,0.106875310490276,7.42117594072787,132.834975765841,32.0423100428503,38.9499179433322,97.8433039055733,1.48323482536826,9.3354219136352,65.5744098858096,2.01580927889655,65.379023793902,2.01901643885798,36.2468773029114,8.78358505027936,3.52929026322222,0.826499415143991,0.937049202259655,97.4833812254562,17.1485486411835,0.914543179000681,0.121270438320612,12.8251712701177,131.586372697796,31.1645054480559,40.5700420812759,96.675218711186,1.22320137610774,9.186576171657,65.2435286599182,2.05667743830305,65.084133133677,2.05922802168983,33.0005532248243
