"vcfID","C19_STAND_BLUE","C19_DTP_BLUE","C19_EH_BLUE","C19_PH_BLUE","C19_FL_BLUE","C19_TE_BLUE","C19_TIL_BLUE","C19_LA_BLUE","C19_EL_BLUE","C19_EW_BLUE","C19_KRN_BLUE","C19_Germ_BLUE","C19_STAND_BLUP","C19_DTP_BLUP","C19_EH_BLUP","C19_PH_BLUP","C19_FL_BLUP","C19_TE_BLUP","C19_TIL_BLUP","C19_LA_BLUP","C19_EL_BLUP","C19_EW_BLUP","C19_KRN_BLUP","C19_Germ_BLUP"
"471_U6",10.3322409213993,62.0786136323891,51.3759469457474,166.137816124154,126.799971085057,38.9227181943551,2.07885268103437,19.1423426638579,101.874865049198,28.8030928857877,9.078192644689,80.3123256038752,9.77869070244868,61.4792936547039,49.2978449062387,164.180277782279,125.126675800973,37.7086364758883,1.89915005533088,24.5699943776402,106.073810103426,29.8921976840022,9.71545960208653,75.6136393950257
"592",5.90361363237733,58.1431118519859,25.1395701969923,139.944840422773,103.52939822834,35.4678660020185,2.60977363063438,69.9782600429385,135.171661587151,28.5698633130014,8.52119060595502,45.9107494841993,6.3489297353624,58.3233843370954,26.281272640537,140.398234661551,104.191968280431,35.1601312992161,2.25539057350605,64.6143134568372,133.817106156908,29.551330527802,9.24729955083501,47.6959647434855
"676A-348-68B",9.12682708993029,56.6403055506444,18.2449824763334,131.688189337426,91.0692795665396,40.3681670688655,2.86306590817093,43.0511269312923,110.985601049604,30.2254703921757,12.2170695644078,69.6952383023212,8.86563836379996,57.0215252038282,20.2856973399004,132.492296773991,92.5981164136614,38.8068437946062,2.47720010651163,43.3964434695549,115.212212743866,31.4574864950666,12.5236736622916,67.5121223024419
"789",6.50057785403635,51.7622053995532,23.6472611068559,117.296029755992,86.1486552026225,30.9342515966525,1.83915727766815,46.7399619648481,127.85790048676,31.4829902716677,9.99106059276464,50.3338376065951,6.77660389362986,53.0913797784134,25.0278701643794,119.428861519879,88.3354667229096,31.5434354932593,1.72323075789638,46.3954769565793,127.164562332439,32.0550077800741,10.3880879064432,51.4922536170715
"83610b",10.9844583540537,60.0139048972247,29.3488808703594,165.269583225158,126.102222472627,38.9726170110176,-0.0523535304492255,50.0143974330979,145.155740601266,34.5859369256783,14.5432757717326,84.5050465952054,10.3082327870154,59.797038625633,30.0494893835114,163.564732660622,124.59150974963,37.8301162048086,0.476769844856667,48.9567749932154,142.003677384318,34.3849216284249,14.3714802471515,79.2103854083334
"83612b",9.4746096572759,58.7050142858089,26.2720485517215,147.556422236422,112.26702817897,34.8182682522029,0.494272119654527,34.6790721620523,108.133576494795,31.5961970403866,13.139174419434,73.2025173109909,9.1179958364505,58.7037802328991,27.2655612751494,146.884855112712,111.753451877127,34.4166298111844,0.80161271665471,36.8390176649977,111.151555695197,32.1999392208739,13.1869805662528,70.2069366684735
"883",11.5459823682539,60.7695125054057,36.0356718029664,124.363446535041,91.4964553222526,32.8634160598663,2.02519306925454,46.866519992614,111.430373032748,29.8629674676003,12.0821723807,88.8009411913151,10.7705819912767,60.3726576375422,35.7965388058204,125.858214635397,93.0894967239172,33.0323248857399,1.84629047934791,45.8920741497742,113.851180053814,30.6344619042473,12.2906695488048,83.143550194462
"908",0.83224092139934,64.0786136323891,15.3759469457474,120.137816124154,84.2999710850571,35.9227181943551,5.07885268103436,49.1423426638579,NA,NA,NA,7.26232560387523,2.35064490888429,63.0875558954544,17.7502951098659,121.930770583283,86.52388555633,35.3802359734329,3.96446178888497,48.3424674589975,NA,NA,NA,15.9255243676563
"909",12.6268270899303,56.6403055506444,12.7449824763334,91.1881893374257,65.5692795665396,25.3681670688655,1.36306590817093,48.0511269312923,95.8433030441222,30.5326117683787,11.9914455285474,96.6452383023212,11.6022868140605,57.0215252038282,15.4659327876768,95.2943610879184,69.4364422668754,27.1648412823294,1.44454423973459,47.3585223164478,103.960854683386,31.4602593116657,12.2800436305345,89.5325836301298
"A10579",12.3322409213993,57.5786136323891,51.8759469457474,161.637816124154,129.799971085057,31.4227181943551,1.07885268103437,49.6423426638579,117.374865049198,28.3030928857877,12.078192644689,95.7123256038751,11.3424898168833,57.8607036130152,49.7360053200772,160.047173817159,127.851578641772,31.8876352197498,1.21071281081285,48.7386753436868,119.013040479106,29.4839942971934,12.2843653992657,88.1967601537045
"A15",11.3322409213993,55.5786136323891,45.3759469457474,162.637816124154,130.799971085057,30.9227181943551,0.0788526810343666,40.6423426638579,102.874865049198,32.8030928857877,15.578192644689,88.0123256038752,10.560590259666,56.2524413722647,44.0399199401765,160.965641364964,128.759879588705,31.4995684693406,0.52227556629482,41.6069334192796,106.908599159921,33.1578247784725,15.2814221626414,81.9051997743651
"A632_susu",NA,63.0765548945734,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350941191315073,NA,61.6351166071154,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8723144084139
"A648",7.40361363237733,67.6431118519859,37.6395701969923,143.444840422773,114.02939822834,29.4678660020185,0.109773630634381,33.9782600429384,169.875145015892,32.5004645430249,13.9472751969923,57.4107494841993,7.52177907118836,65.9626299806604,37.2352829864997,143.612871078866,113.729128223226,30.5033302943053,0.534297462210979,36.0873457592084,157.253375837533,32.9493795517225,13.8013067244823,57.0924510243171
"A684su",11.4844583540537,60.0139048972247,20.8488808703594,118.269583225158,89.1022224726268,29.4726170110176,0.947646469550772,46.5143974330979,97.1557406012662,39.0859369256783,17.0432757717326,88.3550465952054,10.6991825656241,59.797038625633,22.6007623482567,120.396757913821,90.9843747131166,30.4568479470332,1.1652070893747,46.1833198003903,101.933802672534,38.0587521097039,16.5122350781341,82.3561655980031
"A685su",7.48445835405373,60.0139048972247,20.3488808703594,129.769583225158,101.102222472627,28.9726170110176,0.947646469550772,48.5143974330979,104.655740601266,33.0859369256783,12.5432757717326,57.6050465952055,7.57158433675488,59.797038625633,22.1626019344182,130.95913471357,101.88398607631,30.068781196624,1.1652070893747,47.7681513391475,108.19472059625,33.1603114679985,12.6588763823654,57.230778368823
"A686su",6.15279528669074,60.1974966643888,26.6201950314678,133.927796856995,102.450906590192,30.9841504133151,0.707951066184555,54.1120167340881,107.638776038828,33.7658343115583,14.4561437198082,46.8265585979253,6.52424642097932,59.8525015132827,27.6875353335777,134.886498484797,103.241416769423,31.6649152221796,0.989287791940197,52.1604869917579,110.085324525867,33.6903080168353,14.1878066191151,48.7974392510398
"A7",10.0459823682539,62.2695125054057,59.5356718029664,168.863446535041,133.996455322253,34.3634160598663,0.0251930692545388,52.0149895411327,110.430373032748,35.3629674676003,15.0821723807,77.2509411913151,9.59773265545074,61.578854318105,56.3900782562304,166.730020512686,131.692286968561,34.1965251369676,0.469415990311853,50.3374084700124,113.016390997318,35.124699159144,14.8595753459839,73.7062096254529
"Amarillo_dulce",6.57195056501435,54.82670361915,17.9108843581008,118.603054054611,86.3780823459051,31.9793994043159,2.87007822726816,42.0758793439286,90.8751450158919,28.5004645430249,7.94727519699226,50.5322614869192,6.86539093402145,55.5643883034317,19.9758748660567,120.904675963768,88.7458314552881,32.4875310702702,2.42368989833057,42.4607208352653,100.655610573848,30.1903006539398,9.30902703994233,51.8457463843811
"Andjar_Bekaa",11.3322409213993,46.0786136323891,25.8759469457474,138.637816124154,102.799971085057,34.9227181943551,1.57885268103437,51.1423426638579,127.874865049198,36.8030928857877,11.078192644689,88.0123256038752,10.560590259666,48.6131957286997,26.9516638004746,138.922420217662,103.327453074587,34.6041024726144,1.55493143307187,49.9272989977547,127.778325572309,36.4234518729427,11.4280634668726,81.9051997743651
